names	63to73	67to73	73to76	123to126	130to130
JN872288_Nosema_sp._Bombus_sibiricus	1	0	0	1	1
JN872289_Nosema_sp._Bombus_sibiricus	1	0	0	1	1
JN872290_Nosema_sp._Bombus_remotus	1	0	0	1	1
JN872291_Nosema_sp._Bombus_friseanus	1	0	0	1	1
JN872292_Nosema_sp._Bombus_flavescens	1	0	0	1	1
MI10.001_Bombus_terricola_12	1	0	0	1	1
MI10.001_Bombus_terricola_3	1	0	0	1	1
MI10.001_Bombus_terricola_8	1	0	0	1	1
MT764044_Bombus_occidentalis_15	1	0	0	1	1
MT764044_Bombus_occidentalis_16	1	0	0	1	1
MT764044_Bombus_occidentalis_4	1	0	0	1	1
MT764044_Bombus_occidentalis_7	1	0	0	1	1
NC09.685_Bombus_bimaculatus_12	0	0	0	1	1
NC09.685_Bombus_bimaculatus_3	0	0	0	1	1
SK_B18_Bombus_terrestris_1	1	0	0	1	1
SK_B18_Bombus_terrestris_3	1	0	0	1	1
TX08.464_Bombus_pensylvanicus_15	1	0	0	1	1
TX08.464_Bombus_pensylvanicus_2	1	0	0	1	1
TX08.464_Bombus_pensylvanicus_3	1	0	0	1	1
TX08.464_Bombus_pensylvanicus_8	1	0	0	1	1
TX08.886_Bombus_pensylvanicus_5	1	0	0	1	1
U11047_Nosema_vespula_Direct_Submission	1	0	0	1	c
U27359_Nosema_oulemae_Oulema_melanopus	1	0	0	1	a
U97150_Nosema_apis_Apis_mellifera	1	0	0	1	1
WY764699_Bombus_occidentalis_14	1	0	0	1	1
WY764699_Bombus_occidentalis_15	1	0	0	1	1
